code_x,country,displayAffiliation,displayName,displayNameEn,dob,draftYear,experience,firstInitial,firstName,firstNameEn,height,jerseyNo,lastName,lastNameEn,leagueId_x,playerId,position,schoolType,weight,abbr,city,cityEn,code_y,conference,displayAbbr,displayConference,division,id,isAllStarTeam,isLeagueTeam,leagueId_y,name,nameEn
alex_abrines,西班牙,Spain,亚历克斯 阿布里内斯,Alex Abrines,744177600000,2013,1,亚历克斯,亚历克斯,Alex,1.98,8,阿布里内斯,Abrines,00,203518,后卫,None,86.2 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
quincy_acy,美国,Baylor/United States,昆西 埃希 ,Quincy Acy,655185600000,2012,5,昆西,昆西,Quincy,2.01,13,埃希 ,Acy,00,203112,前锋,College,108.9 公斤,BKN,布鲁克林,Brooklyn,nets,Eastern,篮网,东部,大西洋分区,1610612751,False,True,00,篮网,Nets
steven_adams,新西兰,Pittsburgh/New Zealand,斯蒂文 亚当斯,Steven Adams,743140800000,2013,4,斯蒂文,斯蒂文,Steven,2.13,12,亚当斯,Adams,00,203500,中锋,College,115.7 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
bam_adebayo,美国,Kentucky/United States,巴姆 阿德巴约,Bam Adebayo,869198400000,2017,0,巴姆,巴姆,Bam,2.08,13,阿德巴约,Adebayo,00,1628389,中锋-前锋,College,115.7 公斤,MIA,迈阿密,Miami,heat,Eastern,热火,东部,东南分区,1610612748,False,True,00,热火,Heat
arron_afflalo,美国,UCLA/United States,阿隆 阿夫拉罗,Arron Afflalo,498196800000,2007,10,阿隆,阿隆,Arron,1.96,4,阿夫拉罗,Afflalo,00,201167,后卫,College,95.3 公斤,ORL,奥兰多,Orlando,magic,Eastern,魔术,东部,东南分区,1610612753,False,True,00,魔术,Magic
alexis_ajinca,法国,"Saint Etienne, France/France",亚历克西斯 阿金萨,Alexis Ajinca,578894400000,2008,7,亚历克西斯,亚历克西斯,Alexis,2.18,42,阿金萨,Ajinca,00,201582,中锋,Country,112.5 公斤,NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans
cole_aldrich,美国,Kansas/United States,科尔 阿尔德里奇,Cole Aldrich,594277200000,2010,7,科尔,科尔,Cole,2.11,45,阿尔德里奇,Aldrich,00,202332,中锋,College,114.8 公斤,MIN,明尼苏达,Minnesota,timberwolves,Western,森林狼,西部,西北分区,1610612750,False,True,00,森林狼,Timberwolves
lamarcus_aldridge,美国,Texas/United States,拉马库斯 阿尔德里奇,LaMarcus Aldridge,490593600000,2006,11,拉马库斯,拉马库斯,LaMarcus,2.11,12,阿尔德里奇,Aldridge,00,200746,前锋,College,117.9 公斤,SAS,圣安东尼奥,San Antonio,spurs,Western,马刺,西部,西南分区,1610612759,False,True,00,马刺,Spurs
jarrett_allen,美国,Texas/United States,贾瑞特 艾伦,Jarrett Allen,893131200000,2017,0,贾瑞特,贾瑞特,Jarrett,2.11,31,艾伦,Allen,00,1628386,中锋,College,106.1 公斤,BKN,布鲁克林,Brooklyn,nets,Eastern,篮网,东部,大西洋分区,1610612751,False,True,00,篮网,Nets
kadeem_allen,美国,Arizona/United States,卡迪姆 艾伦,Kadeem Allen,727074000000,2017,0,卡迪姆,卡迪姆,Kadeem,1.90,45,艾伦,Allen,00,1628443,后卫,College,90.7 公斤,BOS,波士顿,Boston,celtics,Eastern,凯尔特人,东部,大西洋分区,1610612738,False,True,00,凯尔特人,Celtics
